Ticker,Code,Name,Industry,Sector,Market,Available?
YTL,4677,YTL CORPORATION BERHAD,"Gas, Water & Multi-Utilities",Utilities,Main Market,1
SEM,5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD,Retailers,Consumer Products & Services,Main Market,1
AEONCR,5139,AEON CREDIT SERVICE (M) BERHAD,Other Financials,Financial Services,Main Market,1
CAPITALA,5099,CAPITAL A BERHAD,"Travel, Leisure & Hospitality",Consumer Products & Services,Main Market,1
ABMB,2488,ALLIANCE BANK MALAYSIA BERHAD,Banking,Financial Services,Main Market,1
BJCORP,3395,BERJAYA CORPORATION BERHAD,Diversified Industrials,Industrial Products & Services,Main Market,1
SPTOTO,1562,SPORTS TOTO BERHAD,"Travel, Leisure & Hospitality",Consumer Products & Services,Main Market,1
BAUTO,5248,BERMAZ AUTO BERHAD,Automotive,Consumer Products & Services,Main Market,1
BAT,4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,Personal Goods,Consumer Products & Services,Main Market,1
ARMADA,5210,BUMI ARMADA BERHAD,"Energy, Infrastructure, Equipment & Services",Energy,Main Market,1
BURSA,1818,BURSA MALAYSIA BERHAD,Other Financials,Financial Services,Main Market,1
CMSB,2852,CAHYA MATA SARAWAK BERHAD,Building Materials,Industrial Products & Services,Main Market,1
CLMT,5180,CAPITALAND MALAYSIA TRUST,Real Estate Investment Trusts,Real Estate Investment Trusts,Main Market,1
DIALOG,7277,DIALOG GROUP BERHAD,"Energy, Infrastructure, Equipment & Services",Energy,Main Market,1
DRBHCOM,1619,DRB-HICOM BERHAD,Automotive,Consumer Products & Services,Main Market,1
E&O,3417,EASTERN & ORIENTAL BERHAD,Property,Property,Main Market,1
EWICAP,5283,ECO WORLD INTERNATIONAL BERHAD,Property,Property,Main Market,1
EKOVEST,8877,EKOVEST BERHAD,Construction,Construction,Main Market,1
F&N,3689,FRASER & NEAVE HOLDINGS BHD,Food & Beverages,Consumer Products & Services,Main Market,1
GAMUDA,5398,GAMUDA BERHAD,Construction,Construction,Main Market,1
GASMSIA,5209,GAS MALAYSIA BERHAD,"Gas, Water & Multi-Utilities",Utilities,Main Market,1
GDEX,78,GDEX BERHAD,Transportation & Logistics Services,Transportation & Logistics,Main Market,1
GENP,2291,GENTING PLANTATIONS BERHAD,Plantation,Plantation,Main Market,1
HARTA,5168,HARTALEGA HOLDINGS BERHAD,Health Care Equipment & Services,Health Care,Main Market,1
HENGYUAN,4324,HENGYUAN REFINING COMPANY BERHAD,Oil & Gas Producers,Energy,Main Market,1
HLIND,3301,HONG LEONG INDUSTRIES BERHAD,Automotive,Consumer Products & Services,Main Market,1
IGBREIT,5227,IGB REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,Real Estate Investment Trusts,Main Market,1
IJM,3336,IJM CORPORATION BERHAD,Construction,Construction,Main Market,1
INARI,166,INARI AMERTRON BERHAD,Semiconductors,Technology,Main Market,1
IOIPG,5249,IOI PROPERTIES GROUP BERHAD,Property,Property,Main Market,1
KOSSAN,7153,KOSSAN RUBBER INDUSTRIES BERHAD,Health Care Equipment & Services,Health Care,Main Market,1
KPJ,5878,KPJ HEALTHCARE BERHAD,Health Care Providers,Health Care,Main Market,1
LCTITAN,5284,LOTTE CHEMICAL TITAN HOLDING BERHAD,Chemicals,Industrial Products & Services,Main Market,1
MALAKOF,5264,MALAKOFF CORPORATION BERHAD,Electricity,Utilities,Main Market,1
MCEMENT,3794,MALAYAN CEMENT BERHAD,Building Materials,Industrial Products & Services,Main Market,1
MBSB,1171,MBSB BERHAD,Other Financials,Financial Services,Main Market,1
MPI,3867,MALAYSIAN PACIFIC INDUSTRIES BERHAD,Semiconductors,Technology,Main Market,1
MRCB,1651,MALAYSIAN RESOURCES CORPORATION BERHAD,Property,Property,Main Market,1
ZETRIX,138,MY E.G. SERVICES BERHAD,Digital Services,Technology,Main Market,1
PADINI,7052,PADINI HOLDINGS BERHAD,Retailers,Consumer Products & Services,Main Market,1
PAVREIT,5212,PAVILION REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,Real Estate Investment Trusts,Main Market,1
PETRONM,3042,PETRON MALAYSIA REFINING & MARKETING BERHAD,Oil & Gas Producers,Energy,Main Market,1
BVLH,3042,BV LAND HOLDINGS BERHAD,Construction,Construction,Leap Market,0
POS,4634,POS MALAYSIA BERHAD,Transportation & Logistics Services,Transportation & Logistics,Main Market,1
VANTNRG,5218,SAPURA ENERGY BERHAD,"Energy, Infrastructure, Equipment & Services",Energy,Main Market,1
